Semester( number like: 1st, 2nd...);Age( Years: 18, 19....);Height( inches like:1 feet);Weight:( in kg);Gender;Religion;Permanent Residence;Current Residence;Family Type;Number of siblings (numbers: 1, 2...);Father's Occupation;Mother's Occupation;Do you think your family environment is friendly?;Academic performance(CGPA like: 3.5.....);Daily average study hour;Daily social media uses hours;Relationship Status;Smoking status;Do you perform religious practice regularly?;How much satisfied with your academic activities(i,e...Presentations, Assignments, Tutorials..);Do you do any extra curricular activities?;If yes what are that...;Do you feel that in the aspect of career building your subject has adequate opportunity in our country?;Do your think your subject- related job gets enough social value in our country ;Have you ever thought about or attempted to kill yourself?;How often have you thought about killing yourself in the past year?;Have you ever told someone that you were going to commit suicide, or that you might do it?;How likely is it that you will attempt suicide someday?;How SATISFIED/dissatisfied are you with your current sleep pattern?;To what extent do you consider your sleep problem to INTERFERE with your daily functioning (e.g. daytime fatigue, ability to function at work/daily chores, concentration, memory, mood, etc.).;How NOTICEABLE to others do you think your sleeping problem is in terms of impairing the quality of your life?;How WORRIED/distressed are you about your current sleep problem?;I found it hard to wind down;"
 I was aware of the dryness of my mouth";"
I couldn’t seem to experience any positive feelings at all";"
 I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)";"
 I found it difficult to work up the initiative to do things"; I tended to over-react to situations;"
I experienced trembling (e.g. in the hands)";"
I felt that I was using a lot of nervous energy";I was worried about situations in which I might panic and make a fool of myself;I felt that I had nothing to look forward to;I found myself getting agitated; I found it difficult to relax;"
 I felt down-hearted and blue";I was intolerant of anything that kept me from getting on with what I was doing;I felt I was close to panic; I was unable to become enthusiastic about anything; I felt I wasn’t worth much as a person; I felt that I was rather touchy; I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat); I felt scared without any good reason;I felt that life was meaningless
5th;20;5feet;63kg;Female;Islam;Urban;Rented House or Mess;Nuclear;3;Others;House Wife;Strongly-agree;3,45;1-3 hours;1-3 hours;Single;No;Regularly;No;No;"My answer was ""No""";Neutral;Neutral;It was just a brief passing thought;Sometimes (2 times);No;No chance at all;Very Dissatisfied;Much;Not at all Noticeable;Very Much;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time
9th;23;5,5;63;Male;Islam;Urban;Own House;Join or Extended;2;Others;House Wife;Agree;3,9;1-3 hours;1-3 hours;Single;No;Regularly;No;yes;Manager Programming Wing;Agree;Neutral;Never;Never;Yes, at one time, but did not really want to die;Rather Unlikely;Dissatisfied;Much;Much;Somewhat;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time
10;23;5,6;78;Male;Islam;Urban;Rented House or Mess;Nuclear;1;Business;House Wife;Neural;2,74;1-3 hours;1-3 hours;Single;Yes;Offen;No;No;no;Neutral;Agree;I have attempted to kill myself, and really hoped to die;Sometimes (2 times);No;Unlikely;Dissatisfied;Much;Much;Much;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time
8th semester;23;5'8'';85;Male;Islam;Rural;Rented House or Mess;Nuclear;4;Business;House Wife;Agree;2,5;4-6 hours;1-3 hours;Single;No;Regularly;No;yes;mentoring class, sports team manager;Neutral;Neutral;Never;Never;No;Never;Moderately Satisfied;A little;Not at all Noticeable;Somewhat;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time
9th;23;5 feet 7 inches ;68;Male;Islam;Rural;Rented House or Mess;Join or Extended;1;Business;House Wife;Strongly-agree;3,3;1-3 hours;1-3 hours;Single;No;Offen;yes;yes;Cricket and football playing ;Agree;Neutral;Never;Never;No;Never;Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
9th;23;5;49;Female;Islam;Urban;Rented House or Mess;Nuclear;1;Business;House Wife;Agree;3,92;4-6 hours;1-3 hours;Single;No;Regularly;yes;No;no extra curricular activities;Agree;Agree;Never;Never;No;Never;Satisfied;A little;Not at all Noticeable;Not at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all
9th;22;5'6'';70;Male;Islam;Rural;Own House;Nuclear;3;Business;House Wife;Strongly-disagree;2,58;1-3 hours;1-3 hours;Single;No;Regularly;No;yes;Volunteering, Sports, Ramp, Leadership.;Strongly-agree;Strongly-agree;Never;Never;No;Never;Dissatisfied;A little;Barely;Much;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
11th;24;5 feet 4 inches;70;Female;Islam;Urban;Rented House or Mess;Nuclear;2;Business;House Wife;Agree;3,6;1-3 hours;4-6 hours;Married;No;Offen;No;No;no;Neutral;Agree;Never;Never;No;No chance at all;Satisfied;Much;Very Much Noticeable;Not at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time
9th;22;5,7;69;Male;Islam;Urban;Rented House or Mess;Nuclear;3;Farmer;House Wife;Agree;3,2;1-3 hours;4-6 hours;Single;No;Offen;No;yes;Sports programming;Neutral;Agree;Never;Never;No;No chance at all;Dissatisfied;A little;Much;Much;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
Spring 2024;23;5,4;70;Male;Islam;Rural;Own House;Join or Extended;17;Business;House Wife;Dis-agree;2,9;1-3 hours;4-6 hours;Single;Yes;Offen;No;No;No i said no;Dis-agree;dis-agree;I have had a plan at least once to kill myself and really wanted to die;Sometimes (2 times);Yes, at one time, and really wanted to do it;No chance at all;Satisfied;A little;Barely;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time
